team1,team2,venue,toss_winner,toss_decision,team1_wins,team1_losses,team2_wins,team2_losses,h2h_team1_wins,h2h_team2_wins,team1_form,team2_form,home_team,winner
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Kolkata Knight Riders,bat,69,31,47,53,3,7,1,4,Kolkata Knight Riders,Royal Challengers Bangalore
Punjab Kings,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,75,25,56,44,3,7,4,4,Punjab Kings,Rajasthan Royals
Lucknow Super Giants,Delhi Capitals,Eden Gardens,Lucknow Super Giants,field,77,23,63,37,7,3,2,1,Delhi Capitals,Lucknow Super Giants
Kolkata Knight Riders,Mumbai Indians,Rajiv Gandhi International Stadium,Mumbai Indians,bat,71,29,71,29,3,7,3,5,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,Gujarat Titans,field,66,34,76,24,3,7,3,4,Gujarat Titans,Gujarat Titans
Sunrisers Hyderabad,Rajasthan Royals,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,77,23,60,40,7,3,1,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Delhi Capitals,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,field,52,48,58,42,3,7,3,5,Delhi Capitals,Gujarat Titans
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,53,47,67,33,7,3,3,3,Rajasthan Royals,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,56,44,78,22,4,6,4,5,Chennai Super Kings,Chennai Super Kings
Punjab Kings,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,bat,43,57,67,33,7,3,4,3,Punjab Kings,Punjab Kings
Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium,Rajasthan Royals,field,40,60,42,58,5,5,5,3,Gujarat Titans,Gujarat Titans
Gujarat Titans,Rajasthan Royals,Eden Gardens,Gujarat Titans,bat,62,38,43,57,7,3,5,3,Rajasthan Royals,Gujarat Titans
Lucknow Super Giants,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,61,39,53,47,3,7,1,3,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,64,36,72,28,7,3,4,2,Chennai Super Kings,Chennai Super Kings
Punjab Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Punjab Kings,field,72,28,44,56,5,5,5,4,Punjab Kings,Punjab Kings
Royal Challengers Bangalore,Gujarat Titans,Sawai Mansingh Stadium,Gujarat Titans,field,73,27,44,56,3,7,1,5,Royal Challengers Bangalore,Royal Challengers Bangalore
Lucknow Super Giants,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,bat,65,35,62,38,4,6,4,2,Royal Challengers Bangalore,Lucknow Super Giants
Delhi Capitals,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,bat,41,59,46,54,7,3,3,1,Kolkata Knight Riders,Delhi Capitals
Punjab Kings,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,59,41,68,32,3,7,4,1,Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Lucknow Super Giants,Eden Gardens,Sunrisers Hyderabad,field,61,39,65,35,5,5,5,1,Lucknow Super Giants,Sunrisers Hyderabad
Delhi Capitals,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,field,43,57,66,34,6,4,5,3,Delhi Capitals,Delhi Capitals
Chennai Super Kings,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants,field,72,28,40,60,6,4,1,5,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,field,77,23,46,54,5,5,5,1,Sunrisers Hyderabad,Sunrisers Hyderabad
Delhi Capitals,Chennai Super Kings,Wankhede Stadium,Delhi Capitals,bat,72,28,61,39,4,6,4,1,Chennai Super Kings,Delhi Capitals
Rajasthan Royals,Lucknow Super Giants,Sawai Mansingh Stadium,Rajasthan Royals,field,62,38,66,34,4,6,1,5,Lucknow Super Giants,Lucknow Super Giants
Sunrisers Hyderabad,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,61,39,52,48,5,5,1,1,Royal Challengers Bangalore,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,55,45,60,40,4,6,2,5,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,62,38,79,21,5,5,3,4,Rajasthan Royals,Delhi Capitals
Rajasthan Royals,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,70,30,58,42,5,5,4,3,Rajasthan Royals,Lucknow Super Giants
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,Royal Challengers Bangalore,field,79,21,43,57,6,4,3,4,Chennai Super Kings,Royal Challengers Bangalore
Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,58,42,40,60,7,3,2,3,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,Delhi Capitals,field,58,42,67,33,6,4,5,2,Delhi Capitals,Delhi Capitals
Lucknow Super Giants,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,bat,61,39,64,36,7,3,2,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,68,32,61,39,3,7,5,5,Rajasthan Royals,Rajasthan Royals
Sunrisers Hyderabad,Gujarat Titans,Sawai Mansingh Stadium,Gujarat Titans,bat,58,42,61,39,7,3,5,5,Sunrisers Hyderabad,Gujarat Titans
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Punjab Kings,field,62,38,72,28,7,3,1,2,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,bat,41,59,72,28,7,3,3,3,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Rajiv Gandhi International Stadium,Chennai Super Kings,field,64,36,71,29,6,4,2,4,Mumbai Indians,Chennai Super Kings
Gujarat Titans,Kolkata Knight Riders,M. Chinnaswamy Stadium,Gujarat Titans,bat,41,59,52,48,5,5,2,5,Kolkata Knight Riders,Gujarat Titans
Delhi Capitals,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,bat,70,30,55,45,4,6,5,4,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,56,44,41,59,7,3,2,4,Punjab Kings,Punjab Kings
Gujarat Titans,Delhi Capitals,Sawai Mansingh Stadium,Gujarat Titans,field,76,24,66,34,5,5,4,5,Delhi Capitals,Delhi Capitals
Punjab Kings,Lucknow Super Giants,Sawai Mansingh Stadium,Punjab Kings,bat,40,60,68,32,3,7,4,3,Punjab Kings,Lucknow Super Giants
Punjab Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,72,28,46,54,6,4,4,3,Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Lucknow Super Giants,Rajiv Gandhi International Stadium,Lucknow Super Giants,bat,45,55,72,28,5,5,5,5,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Delhi Capitals,bat,41,59,75,25,5,5,2,3,Delhi Capitals,Royal Challengers Bangalore
Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,bat,65,35,58,42,4,6,5,3,Punjab Kings,Punjab Kings
Mumbai Indians,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,field,49,51,52,48,7,3,3,5,Mumbai Indians,Chennai Super Kings
Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,43,57,62,38,3,7,2,4,Sunrisers Hyderabad,Delhi Capitals
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,field,53,47,43,57,3,7,5,4,Royal Challengers Bangalore,Royal Challengers Bangalore
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,field,59,41,49,51,7,3,1,4,Rajasthan Royals,Rajasthan Royals
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,77,23,49,51,5,5,4,1,Sunrisers Hyderabad,Kolkata Knight Riders
Chennai Super Kings,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,field,52,48,67,33,3,7,3,4,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,Eden Gardens,Delhi Capitals,bat,55,45,56,44,6,4,2,2,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Mumbai Indians,M. A. Chidambaram Stadium,Rajasthan Royals,bat,62,38,56,44,6,4,1,2,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants,field,68,32,45,55,4,6,3,5,Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,46,54,49,51,5,5,1,2,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,Wankhede Stadium,Gujarat Titans,bat,55,45,64,36,4,6,5,5,Gujarat Titans,Gujarat Titans
Delhi Capitals,Punjab Kings,M. Chinnaswamy Stadium,Punjab Kings,bat,61,39,44,56,5,5,4,5,Delhi Capitals,Punjab Kings
Kolkata Knight Riders,Gujarat Titans,Sawai Mansingh Stadium,Kolkata Knight Riders,field,64,36,43,57,5,5,3,4,Gujarat Titans,Gujarat Titans
Kolkata Knight Riders,Gujarat Titans,Sawai Mansingh Stadium,Gujarat Titans,bat,70,30,58,42,5,5,5,3,Kolkata Knight Riders,Gujarat Titans
Chennai Super Kings,Lucknow Super Giants,Eden Gardens,Chennai Super Kings,field,64,36,58,42,7,3,5,2,Lucknow Super Giants,Chennai Super Kings
Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,63,37,52,48,7,3,3,3,Sunrisers Hyderabad,Sunrisers Hyderabad
Punjab Kings,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Punjab Kings,field,55,45,76,24,7,3,4,4,Kolkata Knight Riders,Punjab Kings
Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,40,60,65,35,5,5,1,2,Royal Challengers Bangalore,Mumbai Indians
Lucknow Super Giants,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants,bat,44,56,43,57,4,6,3,1,Royal Challengers Bangalore,Lucknow Super Giants
Chennai Super Kings,Mumbai Indians,Rajiv Gandhi International Stadium,Chennai Super Kings,field,67,33,69,31,4,6,2,4,Mumbai Indians,Mumbai Indians
Mumbai Indians,Gujarat Titans,Eden Gardens,Mumbai Indians,field,78,22,51,49,6,4,5,1,Mumbai Indians,Mumbai Indians
Lucknow Super Giants,Punjab Kings,M. A. Chidambaram Stadium,Lucknow Super Giants,field,48,52,46,54,5,5,2,3,Lucknow Super Giants,Lucknow Super Giants
Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bat,79,21,41,59,4,6,1,5,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Gujarat Titans,Eden Gardens,Chennai Super Kings,field,57,43,65,35,7,3,2,2,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Lucknow Super Giants,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,55,45,63,37,6,4,5,4,Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,66,34,55,45,4,6,5,1,Sunrisers Hyderabad,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,M. Chinnaswamy Stadium,Punjab Kings,bat,64,36,63,37,3,7,4,5,Sunrisers Hyderabad,Punjab Kings
Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,Sunrisers Hyderabad,field,74,26,69,31,4,6,2,3,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,52,48,64,36,6,4,3,5,Punjab Kings,Punjab Kings
Gujarat Titans,Mumbai Indians,M. Chinnaswamy Stadium,Gujarat Titans,field,53,47,78,22,7,3,4,5,Mumbai Indians,Mumbai Indians
Lucknow Super Giants,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,55,45,42,58,7,3,4,4,Rajasthan Royals,Rajasthan Royals
Sunrisers Hyderabad,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,field,53,47,42,58,6,4,3,4,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,55,45,57,43,3,7,3,5,Delhi Capitals,Delhi Capitals
Punjab Kings,Kolkata Knight Riders,Eden Gardens,Punjab Kings,field,78,22,66,34,5,5,1,4,Kolkata Knight Riders,Kolkata Knight Riders
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Kolkata Knight Riders,field,54,46,75,25,7,3,3,4,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Capitals,Punjab Kings,Wankhede Stadium,Delhi Capitals,field,54,46,70,30,4,6,5,3,Delhi Capitals,Delhi Capitals
Punjab Kings,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,bat,59,41,54,46,7,3,5,3,Delhi Capitals,Delhi Capitals
Punjab Kings,Chennai Super Kings,Wankhede Stadium,Punjab Kings,bat,74,26,76,24,3,7,2,4,Chennai Super Kings,Chennai Super Kings
Lucknow Super Giants,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,field,54,46,62,38,6,4,5,4,Lucknow Super Giants,Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,62,38,68,32,3,7,5,4,Lucknow Super Giants,Lucknow Super Giants
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,Mumbai Indians,bat,69,31,43,57,4,6,3,2,Mumbai Indians,Mumbai Indians
Lucknow Super Giants,Mumbai Indians,Rajiv Gandhi International Stadium,Mumbai Indians,bat,56,44,62,38,4,6,1,1,Lucknow Super Giants,Lucknow Super Giants
Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Chennai Super Kings,bat,56,44,40,60,5,5,2,5,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,40,60,41,59,4,6,3,4,Kolkata Knight Riders,Kolkata Knight Riders
Lucknow Super Giants,Delhi Capitals,M. Chinnaswamy Stadium,Lucknow Super Giants,field,65,35,78,22,5,5,2,5,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,48,52,73,27,7,3,1,4,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,bat,41,59,74,26,5,5,3,3,Delhi Capitals,Sunrisers Hyderabad
Gujarat Titans,Rajasthan Royals,Eden Gardens,Gujarat Titans,bat,59,41,52,48,7,3,3,3,Gujarat Titans,Gujarat Titans
Gujarat Titans,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,67,33,49,51,3,7,2,3,Lucknow Super Giants,Lucknow Super Giants
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,54,46,61,39,5,5,5,2,Kolkata Knight Riders,Kolkata Knight Riders
Gujarat Titans,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,bat,63,37,60,40,4,6,4,1,Gujarat Titans,Gujarat Titans
Punjab Kings,Delhi Capitals,M. A. Chidambaram Stadium,Delhi Capitals,field,59,41,47,53,3,7,4,2,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Gujarat Titans,Rajiv Gandhi International Stadium,Kolkata Knight Riders,bat,42,58,58,42,4,6,4,5,Gujarat Titans,Gujarat Titans
Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi International Stadium,Delhi Capitals,bat,61,39,60,40,3,7,5,5,Delhi Capitals,Delhi Capitals
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,53,47,69,31,6,4,4,2,Mumbai Indians,Mumbai Indians
Punjab Kings,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,field,77,23,71,29,6,4,4,2,Punjab Kings,Punjab Kings
Lucknow Super Giants,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,55,45,46,54,5,5,4,1,Mumbai Indians,Lucknow Super Giants
Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Mumbai Indians,field,63,37,72,28,7,3,3,4,Mumbai Indians,Sunrisers Hyderabad
Royal Challengers Bangalore,Chennai Super Kings,Rajiv Gandhi International Stadium,Chennai Super Kings,bat,64,36,41,59,6,4,2,5,Royal Challengers Bangalore,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,bat,58,42,67,33,3,7,3,2,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Mumbai Indians,Sawai Mansingh Stadium,Delhi Capitals,field,44,56,78,22,5,5,2,3,Mumbai Indians,Mumbai Indians
Delhi Capitals,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Delhi Capitals,bat,43,57,43,57,4,6,3,4,Royal Challengers Bangalore,Royal Challengers Bangalore
Royal Challengers Bangalore,Punjab Kings,Eden Gardens,Punjab Kings,field,53,47,69,31,7,3,4,1,Punjab Kings,Punjab Kings
Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,64,36,70,30,5,5,5,1,Lucknow Super Giants,Lucknow Super Giants
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,field,77,23,79,21,7,3,1,2,Rajasthan Royals,Rajasthan Royals
Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,Gujarat Titans,bat,63,37,73,27,7,3,5,4,Sunrisers Hyderabad,Sunrisers Hyderabad
Gujarat Titans,Rajasthan Royals,Wankhede Stadium,Gujarat Titans,bat,60,40,48,52,5,5,1,4,Gujarat Titans,Gujarat Titans
Rajasthan Royals,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,48,52,64,36,4,6,3,4,Rajasthan Royals,Royal Challengers Bangalore
Kolkata Knight Riders,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,field,51,49,60,40,7,3,1,5,Kolkata Knight Riders,Kolkata Knight Riders
Lucknow Super Giants,Rajasthan Royals,Sawai Mansingh Stadium,Lucknow Super Giants,field,53,47,56,44,3,7,3,1,Lucknow Super Giants,Lucknow Super Giants
Rajasthan Royals,Gujarat Titans,Rajiv Gandhi International Stadium,Rajasthan Royals,field,59,41,58,42,4,6,3,1,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Punjab Kings,M. A. Chidambaram Stadium,Rajasthan Royals,field,55,45,56,44,7,3,4,2,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,65,35,73,27,4,6,3,2,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,bat,48,52,73,27,3,7,3,5,Chennai Super Kings,Chennai Super Kings
Lucknow Super Giants,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants,field,74,26,40,60,4,6,5,5,Lucknow Super Giants,Lucknow Super Giants
Mumbai Indians,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,bat,64,36,62,38,6,4,2,4,Lucknow Super Giants,Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,bat,51,49,78,22,5,5,1,3,Lucknow Super Giants,Lucknow Super Giants
Royal Challengers Bangalore,Mumbai Indians,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,40,60,77,23,7,3,3,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Gujarat Titans,Royal Challengers Bangalore,Wankhede Stadium,Gujarat Titans,field,68,32,66,34,4,6,4,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Lucknow Super Giants,Chennai Super Kings,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,73,27,59,41,3,7,4,5,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,56,44,74,26,7,3,2,1,Delhi Capitals,Delhi Capitals
Gujarat Titans,Chennai Super Kings,Eden Gardens,Gujarat Titans,field,54,46,47,53,7,3,3,1,Chennai Super Kings,Gujarat Titans
Gujarat Titans,Delhi Capitals,Wankhede Stadium,Gujarat Titans,field,43,57,75,25,6,4,2,4,Delhi Capitals,Delhi Capitals
Gujarat Titans,Delhi Capitals,Wankhede Stadium,Gujarat Titans,field,42,58,61,39,5,5,3,4,Delhi Capitals,Delhi Capitals
Mumbai Indians,Kolkata Knight Riders,Arun Jaitley Stadium,Mumbai Indians,field,74,26,43,57,3,7,5,4,Mumbai Indians,Mumbai Indians
Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,Delhi Capitals,field,79,21,45,55,6,4,3,4,Delhi Capitals,Delhi Capitals
Gujarat Titans,Mumbai Indians,Rajiv Gandhi International Stadium,Gujarat Titans,field,76,24,60,40,3,7,3,4,Gujarat Titans,Gujarat Titans
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Rajasthan Royals,bat,42,58,49,51,3,7,3,3,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Lucknow Super Giants,Rajiv Gandhi International Stadium,Lucknow Super Giants,field,56,44,75,25,7,3,4,5,Royal Challengers Bangalore,Lucknow Super Giants
Royal Challengers Bangalore,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,bat,44,56,45,55,5,5,4,4,Punjab Kings,Punjab Kings
Royal Challengers Bangalore,Mumbai Indians,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,76,24,77,23,5,5,1,1,Royal Challengers Bangalore,Mumbai Indians
Lucknow Super Giants,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,bat,57,43,42,58,5,5,1,3,Delhi Capitals,Delhi Capitals
Punjab Kings,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,43,57,68,32,5,5,1,1,Punjab Kings,Royal Challengers Bangalore
Lucknow Super Giants,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,48,52,61,39,4,6,1,2,Lucknow Super Giants,Mumbai Indians
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,field,71,29,67,33,4,6,5,4,Delhi Capitals,Mumbai Indians
Lucknow Super Giants,Gujarat Titans,Wankhede Stadium,Lucknow Super Giants,field,46,54,46,54,5,5,5,2,Gujarat Titans,Lucknow Super Giants
Rajasthan Royals,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,field,58,42,42,58,5,5,3,4,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Sunrisers Hyderabad,Wankhede Stadium,Royal Challengers Bangalore,field,46,54,68,32,7,3,5,3,Royal Challengers Bangalore,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,60,40,67,33,4,6,4,2,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,field,45,55,73,27,6,4,5,4,Sunrisers Hyderabad,Royal Challengers Bangalore
Rajasthan Royals,Chennai Super Kings,M. A. Chidambaram Stadium,Rajasthan Royals,bat,60,40,66,34,3,7,1,2,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,Delhi Capitals,field,72,28,77,23,5,5,5,3,Chennai Super Kings,Delhi Capitals
Punjab Kings,Delhi Capitals,Sawai Mansingh Stadium,Punjab Kings,bat,46,54,55,45,7,3,4,4,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Gujarat Titans,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,bat,57,43,51,49,3,7,5,2,Gujarat Titans,Gujarat Titans
Punjab Kings,Delhi Capitals,M. A. Chidambaram Stadium,Punjab Kings,field,52,48,78,22,5,5,5,2,Delhi Capitals,Punjab Kings
Chennai Super Kings,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,46,54,67,33,6,4,2,4,Rajasthan Royals,Rajasthan Royals
Rajasthan Royals,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,44,56,60,40,4,6,4,1,Rajasthan Royals,Sunrisers Hyderabad
Rajasthan Royals,Delhi Capitals,Wankhede Stadium,Rajasthan Royals,bat,41,59,40,60,6,4,2,2,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,field,66,34,43,57,7,3,2,2,Gujarat Titans,Gujarat Titans
Sunrisers Hyderabad,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,bat,73,27,78,22,7,3,1,5,Sunrisers Hyderabad,Lucknow Super Giants
Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,field,77,23,65,35,3,7,4,5,Lucknow Super Giants,Lucknow Super Giants
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,41,59,54,46,4,6,3,5,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,M. A. Chidambaram Stadium,Delhi Capitals,bat,74,26,68,32,7,3,5,5,Rajasthan Royals,Delhi Capitals
Mumbai Indians,Punjab Kings,Eden Gardens,Punjab Kings,field,60,40,48,52,4,6,4,3,Punjab Kings,Punjab Kings
Sunrisers Hyderabad,Gujarat Titans,Eden Gardens,Sunrisers Hyderabad,bat,65,35,61,39,7,3,4,2,Sunrisers Hyderabad,Sunrisers Hyderabad
Punjab Kings,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Royal Challengers Bangalore,field,71,29,53,47,5,5,1,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,72,28,46,54,7,3,4,4,Sunrisers Hyderabad,Sunrisers Hyderabad
